,categories,user_reviews
563,single-player;steam achievements;steam trading cards;steam cloud;commentary available;remote play on tablet;requires agreement to a 3rd-party eula;pillars of eternity eula 1,0.92
571,single-player;steam achievements;full controller support;steam trading cards;steam workshop;steam cloud;steam leaderboards;commentary available;remote play on phone;remote play on tablet;remote play on tv;requires agreement to a 3rd-party eula;forager eula,0.92
572,single-player;steam achievements;steam trading cards;steam workshop;steam cloud;includes level editor;requires agreement to a 3rd-party eula;prison architect eula,0.89
578,single-player;online pvp;lan pvp;online co-op;lan co-op;steam achievements;steam trading cards;steam cloud;includes level editor;requires agreement to a 3rd-party eula;spell;force 3 eula,0.75
579,single-player;cross-platform multiplayer;steam achievements;steam trading cards;in-app purchases;partial controller support;steam cloud;requires agreement to a 3rd-party eula;gems of war eula,0.83
581,cross-platform multiplayer;steam achievements;steam cloud;valve anti-cheat enabled;stats;includes source sdk,0.96
582,single-player;online pvp;online co-op;cross-platform multiplayer;steam achievements;full controller support;steam trading cards;in-app purchases;steam cloud;remote play on tablet;requires agreement to a 3rd-party eula;minion masters eula,0.9
591,single-player;steam achievements;partial controller support;steam cloud,0.92
592,single-player,0.67
596,single-player;steam achievements;full controller support;steam cloud;remote play on phone;remote play on tablet;remote play on tv;remote play together,0.96
597,single-player;steam achievements;full controller support;steam cloud;requires agreement to a 3rd-party eula;heavy rain eula,0.83
599,single-player;steam achievements;full controller support;steam cloud;remote play on tv;requires agreement to a 3rd-party eula;wolfenstein ii: the new colossus eula,0.82
606,single-player;steam achievements;steam trading cards;steam workshop;steam cloud;remote play on tablet;requires agreement to a 3rd-party eula;two point hospital eula,0.96
607,single-player;steam achievements;full controller support;steam trading cards;steam cloud;remote play on tv;requires agreement to a 3rd-party eula;borderlands: the pre-sequel eula,0.82
611,single-player;steam achievements;full controller support;steam trading cards;steam workshop;steam cloud;remote play on tv;requires agreement to a 3rd-party eula;railway empire eula,0.85
615,steam achievements;full controller support;stats;steam leaderboards;remote play on tv;requires agreement to a 3rd-party eula;friday the 13th: the game eula,0.89
617,single-player;online pvp;steam achievements;full controller support;steam trading cards;steam cloud;steam leaderboards,0.81
619,single-player;cross-platform multiplayer;downloadable content;steam achievements;steam trading cards;steam workshop;partial controller support;steam cloud,0.73
627,single-player;steam achievements;full controller support;steam trading cards;steam cloud;remote play on tablet;requires agreement to a 3rd-party eula;trials of mana eula,0.91
632,single-player;online pvp;shared/split screen pvp;steam achievements;full controller support;remote play on phone;remote play on tablet;remote play on tv;remote play together,0.8
637,single-player;steam achievements;full controller support;steam trading cards;steam cloud;remote play on tv;requires agreement to a 3rd-party eula;yakuza kiwami 2 eula,0.95
641,single-player;requires agreement to a 3rd-party eula;dragon age: origins - ultimate edition;ea play subscription requires acceptance of;ea play terms,0.87
644,single-player;cross-platform multiplayer;steam achievements;steam trading cards;captions available;steam cloud,0.95
645,single-player;online pvp;online co-op;steam achievements;steam trading cards;steam workshop,0.77
649,downloadable content;steam achievements;steam trading cards;partial controller support;steam cloud,0.76
655,single-player;shared/split screen pvp;shared/split screen co-op;steam achievements;partial controller support;steam cloud;remote play on phone;remote play on tablet;remote play together,0.83
660,single-player;steam achievements;steam trading cards;partial controller support;steam cloud;remote play on phone;remote play on tablet,0.92
664,single-player;mmo;downloadable content;partial controller support,0.36
669,single-player;downloadable content;steam achievements;steam trading cards,0.6
672,single-player;steam achievements;full controller support;steam trading cards;captions available;steam cloud;stats;requires agreement to a 3rd-party eula;dead island riptide - definitive edition eula,0.81
682,single-player;steam achievements;full controller support;steam trading cards;steam cloud;requires agreement to a 3rd-party eula;resident evil 0 / biohazard 0 hd remaster eula,0.81
689,single-player;downloadable content;steam achievements;steam trading cards;steam cloud,0.78
692,single-player;online co-op;shared/split screen co-op;steam achievements;full controller support;steam trading cards;steam cloud;steam leaderboards;remote play on phone;remote play on tablet;remote play on tv;remote play together,0.83
693,single-player;online pvp;shared/split screen pvp;steam achievements;steam trading cards;partial controller support;remote play on phone;remote play on tablet;remote play together;requires agreement to a 3rd-party eula;monster prom eula,0.94
698,single-player;requires agreement to a 3rd-party eula;command and conquer 3: tiberium wars eula 1,0.86
702,single-player;online pvp;shared/split screen pvp;cross-platform multiplayer;steam achievements;full controller support;remote play on phone;remote play on tablet;remote play on tv;remote play together,0.87
704,single-player;cross-platform multiplayer;downloadable content;steam achievements;steam trading cards;steam workshop;steam cloud,0.61
705,single-player;downloadable content;steam achievements;steam trading cards;steam cloud,0.69
706,downloadable content;steam achievements;steam trading cards;partial controller support;steam cloud,0.8
712,single-player;online pvp;cross-platform multiplayer,0.41
714,single-player;steam achievements;full controller support;steam trading cards;steam cloud;remote play on phone;remote play on tablet;remote play on tv;incorporates 3rd-party drm: denuvo anti-tamper;requires agreement to a 3rd-party eula;life is strange 2 eula,0.85
716,single-player;steam achievements;full controller support;steam trading cards;steam cloud;remote play on tv,0.94
717,single-player;steam achievements;full controller support;steam trading cards;steam cloud;remote play on tv,0.91
721,single-player;steam achievements;steam trading cards;partial controller support;steam cloud;remote play on phone;remote play on tablet;requires agreement to a 3rd-party eula;final fantasy x/x-2 hd remaster eula 1,0.92
723,single-player;steam achievements;full controller support;steam trading cards;captions available;steam cloud;remote play on tv,0.94
724,single-player;online pvp;steam achievements;steam cloud;steam leaderboards,0.86
